domicilio,servicios-con-los-que-cuenta,capacidad-de-familias,capacidad-de-personas,nombre-del-municipio,region,entidad,nombre-del-enlace-regional,uso-del-inmueble,nombre-de-la-localidad,coordenada-y,nombre-del-inmueble,coordenada-x
AVENIDA MORELOS ESQUINA SERDAN COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",50.0,200.0,COSAMALOPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,COSAMALOAPAN DE CARPIO,18.3665606911,ESCUELA MANUEL CARPIO,-95.7949884322
AVENIDA NICOLAS BRAVO ESQUINA FENTANES COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",375.0,1500.0,COSAMALOPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,COSAMALOAPAN DE CARPIO,18.3687531283,SALON RIO PARAISO,-95.7956851785
AVENIDA FRANCISCO I. MADERO NUMERO 1204 COLONIA HIDALGO,"AGUA, LUZ, SANITARIOS",38.0,150.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,COSAMALOAPAN DE CARPIO,18.3686510884,COLEGIO PATRIA,-95.7894079517
CONOCIDO,"AGUA, LUZ, SANITARIOS",100.0,420.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,PARAISO NOVILLERO,18.2505577004,ESCUELA SECUNDARIA TECNICA AGROPECUARIA,-95.9355573034
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,ESTACION TUXTILLA,18.2734200868,ESCUELA LUIS H. MONROY,-95.9199905759
CONOCIDO,"AGUA, LUZ, SANITARIOS",20.0,80.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,POBLADO DOS,18.3191250489,SALON EJIDAL NUEVO PLATANAL,-96.0393674049
CONOCIDO,"AGUA, LUZ, SANITARIOS",3.0,10.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,ESTACION TUXTILLA,18.2732167408,JARDIN DE NIÑOS ANACLETO ZAVALETA,-95.9196755989
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,PARAISO NOVILLERO,18.2505577004,ESCUELA PRIMARIA JORGE L. TAMAYO,-95.9355573034
CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,GABINO BARRERA,18.1891630788,SALON SOCIAL,-96.090007348
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,SAN ANTONIO TEXAS,18.1744065318,SALON EJIDAL,-96.1290929931
CONOCIDO,"AGUA, LUZ, SANITARIOS",52.0,200.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,GABINO BARRERA,18.1891167225,ESCUELA PRIMARIA SALVADOR DIAZ MIRON,-96.0899364271
CONOCIDO,"AGUA, LUZ, SANITARIOS",126.0,500.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,SAN ANTONIO TEXAS,18.1744065318,SALON SOCIAL,-96.1290929931
CONOCIDO,"AGUA, LUZ, SANITARIOS",10.0,40.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,SAN FRANCISCO OYOZONTLE,18.3294364385,JARDIN DE NIÑOS GUADALUPE HERRERA,-95.8458277993
CONOCIDO,"AGUA, LUZ, SANITARIOS",12.0,50.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,SAN FRANCISCO OYOZONTLE,18.3294124424,TELESECUNDARIA LAZARO CARDENAS,-95.8457045959
CONOCIDO,"AGUA, LUZ, SANITARIOS",12.0,50.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,SAN FRANCISCO OYOZONTLE,18.3292803158,TELEBACHILLERATO,-95.8453995593
CONOCIDO,"AGUA, LUZ, SANITARIOS",6.0,25.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,SAN FRANCISCO OYOZONTLE,18.3294077449,ESCUELA PRIMARIA IGNACIO RAMIREZ,-95.8455900414
CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,NOPALTEPEC,18.2774808634,ESCUELA PRIMARIA AQUILES SERDAN,-96.0000139746
CONOCIDO,"AGUA, LUZ, SANITARIOS",125.0,500.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,GANJA,NOPALTEPEC,18.2774808634,GRANJA PARA ANIMALES,-96.0000139746
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,100.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,NOPALTEPEC,18.2775811169,ESCUELA PRIMARIA ENRIQUE  REBSAMEN,-96.0000837785
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,200.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,NOPALTEPEC,18.2775869997,TELEBACHILLERATO NOLPATEPEC,-96.000009324
CONOCIDO,"AGUA, LUZ, SANITARIOS",12.0,50.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,SAN FRANCISCO OYOZONTLE,18.3294364385,SALON EJIDAL,-95.8458277993
CONOCIDO,"AGUA, LUZ, SANITARIOS",5.0,25.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,NOPALTEPEC,18.2775401846,ESCUELA PRIMARIA IGNACIO RAMIREZ,-95.9999464532
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,SAN ISIDRO,18.2580323436,ESCUELA PRIMARIA EMILIANO ZAPATA,-95.985825994
CONOCIDO,"AGUA, LUZ, SANITARIOS",10.0,40.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,GLORIA DE COAPA,18.3530581013,SALON EJIDAL,-96.0402768858
CONOCIDO,"AGUA, LUZ, SANITARIOS",10.0,40.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,ESCUELA,GLORIA DE COAPA,18.3530313336,ESCUELA PRIMARIA,-96.0396027278
CONOCIDO,"AGUA, LUZ, SANITARIOS",8.0,30.0,COSAMALOPAN,COSAMALOPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,BALSAMOS,18.3453690097,SALON EJIDAL,-95.90556211
CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,ISLA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,EL NANCHE,18.303333,SALON EJIDAL,-97.5825
CONOCIDO,"AGUA, LUZ, SANITARIOS",88.0,350.0,ISLA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,PALO BLANCO,18.02,TELESECUNDARIA 16 DE SEPTIEMBRE,-95.609722
CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,ISLA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,POTRERILLOS,18.221667,ESCUELA PRIMARIA 16 DE SEPTIEMBRE,-95.391111
CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,ISLA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,CLINICA,SANTA ELENA,18.294167,UNIDAD MEDICA RURAL,-95.546944
CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,MANZANILLO,18.272062,ESCUELA PRIMARIA BENITO JUAREZ,-95.642817
CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,CUJULIAPAN,18.201439,TELESECUNDARIA ADOLFO LOPEZ MATEOS,-95.644267
CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,JUAN GARCIA,18.27205,SALON SOCIAL Y ESCUELA PRIMARIA MIGUEL HIDALGO Y COSTILLA,-95.642536
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,CURAZAO,18.101163,ESCUELA PRIMARIA,-95.68726
CONOCIDO,"AGUA, LUZ, SANITARIOS",100.0,400.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,JOSEAZUETA,18.075014,ESCUELA PRIM LEONA VICARIO,-95.711127
CONOCIDO,"AGUA, LUZ, SANITARIOS",63.0,250.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,JOSEAZUETA,18.075012,COBAEV,-95.711112
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,JOSEAZUETA,18.075007,TELEBACHILLERATO,-95.711136
CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,JOSEAZUETA,18.075008,ESCUELA PRIMARIA NARCISO MENDOZA,-95.711068
CONOCIDO,"AGUA, LUZ, SANITARIOS",88.0,350.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,TESECHOACAN,18.137173,SALON SOCIAL E IGLESIA CATOLICA,-95.656679
CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,CURAZAO,18.101279,SALON SOCIAL,-95.686988
CONOCIDO,"AGUA, LUZ, SANITARIOS",18.0,70.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,LAS CADENAS,18.032154,CASA EJIDAL,-95.701873
CONOCIDO,"AGUA, LUZ, SANITARIOS",28.0,150.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,SAN JERONIMO,17.98489,CASA EJIDAL,-95.701186
CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,MAJAHUAL,17.936954,????,-95.738983
CONOCIDO,"AGUA, LUZ, SANITARIOS",175.0,700.0,JOSE AZUETA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JOSEAZUETA,18.075138,SALON SOCIAL,-95.11092
CALLE FERROCARRIL COLONIA MATA BEJUCO,"AGUA, LUZ, SANITARIOS",250.0,1000.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993905,SALON DE USOS MULTIPLES,-95.401369
EN EL CENTRO DE LA COMUNIDAD,"AGUA, LUZ, SANITARIOS",50.0,200.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993905,SALON EJIDAL,-95.401369
EN EL CENTRO DE LA COMUNIDAD,"AGUA, LUZ, SANITARIOS",125.0,500.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993905,SALON DE USOS MULTIPLES,-95.40137
EN EL CENTRO DE LA COMUNIDAD,"AGUA, LUZ, SANITARIOS",222.0,888.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993968,SALON DE USOS MULTIPLES,-95.401472
EN EL CENTRO DE LA COMUNIDAD,"AGUA, LUZ, SANITARIOS",125.0,500.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993906,SALON DE USOS MULTIPLES,-95.401368
EN EL CENTRO DE LA COMUNIDAD,"AGUA, LUZ, SANITARIOS",125.0,500.0,JUAN RODRIGUEZ CLARA,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,JUAN RODRIGUEZ CLARA,17.993875,SALON DE USOS MULTIPLES,-95.401384
PARAISO RIO TONTO,"BAÑOS,AGUA,LUZ",50.0,200.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SIN DATO,ZAPOTE COLORADO,18.17573333,SIN DATO,-96.20321111
LAS MARIAS,"BAÑOS,AGUA,LUZ",5.0,20.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SIN DATO,LAS MARIAS,18.20397778,SIN DATO,-96.24125278
EL CHAMIZAL,"BAÑOS,AGUA,LUZ",25.0,100.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,SAN ANTONIO CHAMIZAL,18.25135833,ESCUELA.PRIMARIAIGNACIO N.ALTAMIRANO,-96.26504722
LA GRANJA,"BAÑOS,AGUA,LUZ",40.0,150.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,COLONIA GONZALEZ,18.35194167,ESCUELATEL.CARLOS CRUZ PALMA,-96.26504722
LOS NARANJOS,"BAÑOS,AGUA,LUZ",25.0,100.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,LOS NARANJOS,18.35510278,ESCUELAPRIMARIAABRAM CASTELLANOS,-96.17085278
LOS NARANJOS,"BAÑOS,AGUA,LUZ",25.0,100.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,LOS NARANJOS,18.3535,SALON EJIDAL,-96.165975
POBLADO TRES,"BAÑOS,AGUA,LUZ",12.0,50.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SIN DATO,POBLADO TRES,18.29471389,ESCUELAPRIMARIAFRANCISCO I.MADERO,-96.08668056
POBLADO TRES,"BAÑOS,AGUA,LUZ",12.0,50.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,POBLADO TRES,18.29018056,SALON EJIDAL,-96.09282222
NUEVO MONDONGO,"BAÑOS,AGUA,LUZ",12.0,50.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SALON,POBLADO TRES,18.29006111,SALON EJIDAL,-96.09213611
SIN DATO,"BAÑOS,AGUA,LUZ",25.0,100.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,SIN DATO,TRES VALLES,18.23836667,CLUB DE LEONES,-96.14027778
SIN DATO,"BAÑOS,AGUA,LUZ",125.0,500.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,TRES VALLES,18.24016944,ESCUELASEGENERALTRES VALLES,-96.13916667
SIN DATO,"BAÑOS,AGUA,LUZ",100.0,400.0,TRES VALLES,TRES VALLES,VERACRUZ DE IGNACIO DE LA LLAVE,ISRAEL RODRIGUEZ ALARCON,ESCUELA,TRES VALLES,18.24380278,ESCUELA CECYTEV,-96.14555556
AYAHUAULCO SIN NUMERO,"AGUA, LUZ, TELEFONO, BAÑO",150.0,500.0,ALPATLAHUAC,HUATUSCO,VERACRUZ DE IGNACIO DE LA LLAVE,JUAN MORENO AVELIZAPA,SALON SOCIAL,AYAHUALULCO,19.1021875058,SALON SOCIAL,-97.132191921
